,,Models,,,,,,,,,
date, Actual ,SARIMA,NNTAR,Exp Smoothing,LSTM,SVR,SARIMA-NNTAR,SARIMA-LSTM,ExpSmoothing-LSTM,SARIMA-SVR,ExpSmoothing-SVR
2016-01-04 0:00:00,621,,,,,,,,,,
2016-01-05 0:00:00,456,,,,,,,,,,
2016-01-06 0:00:00,364,,,,,,,,,,
2016-01-07 0:00:00,321,,,,,,,,,,
2016-01-08 0:00:00,293,,,,,,,,,,
2016-01-09 0:00:00,154,,,,,,,,,,
2016-01-10 0:00:00,171,,,,,,,,,,
2016-01-11 0:00:00,439,,,,,,,,,,
2016-01-12 0:00:00,393,,,,,,,,,,
2016-01-13 0:00:00,328,,,,,,,,,,
2016-01-14 0:00:00,339,,,,,,,,,,
2016-01-15 0:00:00,330,,,,,,,,,,
2016-01-16 0:00:00,170,,,,,,,,,,
2016-01-17 0:00:00,181,,,,,,,,,,
2016-01-18 0:00:00,429,,,,,,,,,,
2016-01-19 0:00:00,376,,,,,,,,,,
2016-01-20 0:00:00,356,,,,,,,,,,
2016-01-21 0:00:00,304,,,,,,,,,,
2016-01-22 0:00:00,292,,,,,,,,,,
2016-01-23 0:00:00,148,,,,,,,,,,
2016-01-24 0:00:00,136,,,,,,,,,,
2016-01-25 0:00:00,466,,,,,,,,,,
2016-01-26 0:00:00,369,,,,,,,,,,
2016-01-27 0:00:00,304,,,,,,,,,,
2016-01-28 0:00:00,355,,,,,,,,,,
2016-01-29 0:00:00,261,,,,,,,,,,
2016-01-30 0:00:00,169,,,,,,,,,,
2016-01-31 0:00:00,179,,,,,,,,,,
2016-02-01 0:00:00,307,,,,,,,,,,
2016-02-02 0:00:00,217,,,,,,,,,,
2016-02-03 0:00:00,184,,,,,,,,,,
2016-02-04 0:00:00,153,,,,,,,,,,
2016-02-05 0:00:00,105,,,,,,,,,,
2016-02-06 0:00:00,79,,,,,,,,,,
2016-02-07 0:00:00,40,,,,,,,,,,
2016-02-08 0:00:00,54,,,,,,,,,,
2016-02-09 0:00:00,95,,,,,,,,,,
2016-02-10 0:00:00,109,,,,,,,,,,
2016-02-11 0:00:00,152,,,,,,,,,,
2016-02-12 0:00:00,157,,,,,,,,,,
2016-02-13 0:00:00,219,,,,,,,,,,
2016-02-14 0:00:00,685,,,,,,,,,,
2016-02-15 0:00:00,555,,,,,,,,,,
2016-02-16 0:00:00,437,,,,,,,,,,
2016-02-17 0:00:00,384,,,,,,,,,,
2016-02-18 0:00:00,397,,,,,,,,,,
2016-02-19 0:00:00,352,,,,,,,,,,
2016-02-20 0:00:00,179,,,,,,,,,,
2016-02-21 0:00:00,160,,,,,,,,,,
2016-02-22 0:00:00,481,,,,,,,,,,
2016-02-23 0:00:00,435,,,,,,,,,,
2016-02-24 0:00:00,415,,,,,,,,,,
2016-02-25 0:00:00,391,,,,,,,,,,
2016-02-26 0:00:00,383,,,,,,,,,,
2016-02-27 0:00:00,190,,,,,,,,,,
2016-02-28 0:00:00,158,,,,,,,,,,
2016-02-29 0:00:00,505,,,,,,,,,,
2016-03-01 6:57:37,393,,,,,,,,,,
2016-03-02 0:00:00,390,,,,,,,,,,
2016-03-03 0:00:00,351,,,,,,,,,,
2016-03-04 0:00:00,399,,,,,,,,,,
2016-03-05 0:00:00,194,,,,,,,,,,
2016-03-06 0:00:00,156,,,,,,,,,,
